genre_id,label
100181,その他（掃除機・クリーナー｜生活家電）
100487,指輪・リング（レディースジュエリー・アクセサリー｜ジュエリー・アクセサリー）
100992,Vitamin C
101020,その他（プロバイオティクス｜サプリメント）
101384,Travel vouchers / hotel vouchers / airline tickets
101535,セット・詰め合わせ（魚介類・水産加工品｜食品）
101954,Other catalog gifts & tickets
110365,ストラップ・マスコット（スマートフォン・携帯電話アクセサリー｜スマートフォン・タブレット）
110409,Scallops
110435,タン（牛肉｜精肉・肉加工品）
110632,発泡酒（ビール・発泡酒｜ビール・洋酒）
200181,その他（スポーツ器具｜フィットネス・トレーニング）
201184,White rice
201351,水・炭酸水（水・ソフトドリンク）
201486,ビタミンD（ビタミン｜サプリメント）
201632,ぬいぐるみ（ぬいぐるみ・人形｜おもちゃ）
201925,クーラーボックス（クーラーボックス・保冷剤｜アウトドア）
202502,フラワーアレンジメント（花・観葉植物｜花・ガーデン・DIY）
204586,Rice cookers
204934,ウェッジ（メンズクラブ｜クラブ）
204964,ボール（ゴルフ｜スポーツ・アウトドア）
205272,積み木（ベビー向けおもちゃ｜おもちゃ）
205582,Pillows
205611,毛布・ブランケット（寝具｜インテリア・寝具・収納）
205761,入浴剤（バス用品｜日用品雑貨・文房具・手芸）
206361,スーツ（スーツ・セットアップ｜メンズファッション）
206363,Dress shirts
206440,Women's pants
206471,シャツ・ブラウス（トップス｜レディースファッション）
207288,キーホルダー（キーホルダー・キーケース｜財布・ケース）
207774,Salmon
207802,肩ロース（牛肉｜精肉・肉加工品）
207966,ユーティリティ（メンズクラブ｜クラブ）
208532,Personal care item
210022,バッテリー本体（バッテリー｜車用品）
210413,Other portable generator / power station products
212377,ホットプレート（ホットプレート・グリル・フライヤー｜キッチン家電）
214099,カレー（惣菜｜食品）
214104,ハンバーグ（洋風惣菜｜惣菜）
214781,青汁（栄養・健康ドリンク｜健康食品）
215430,Sofa sets
215913,両手鍋（鍋｜鍋・フライパン）
216158,Home item
216173,Home item
216424,フェイスクリーム（スキンケア｜美容・コスメ・香水）
301577,Suitcases & carry-on bags
304080,ビジネスシューズ（メンズ靴｜靴）
304763,Foot deodorant powder
401131,Baby coveralls & rompers
401534,エプロン（エプロン・三角巾｜配膳用品・キッチンファブリック）
402018,Kitchen item
402279,大人用水筒・マグボトル（水筒・コップ｜弁当箱・水筒）
407120,アロマディフューザー（アロマ・お香｜美容・コスメ・香水）
408789,トートバッグ（男女兼用バッグ｜バッグ）
501098,Toilet paper
502221,ビジネスバッグ・ブリーフケース（メンズバッグ｜バッグ）
502280,バックパック・リュック（メンズバッグ｜バッグ）
502835,Headphones & earphones
506012,レーザー距離計（ラウンド用品・小物｜ゴルフ）
506536,炭酸飲料（水・ソフトドリンク）
506539,Drip coffee bags
507515,Pet gates
507843,Hair growth treatments
508456,Shower heads
508599,Necklace chains
509417,カールアイロン（ドライヤー・ヘアアイロン｜美容・健康家電）
509434,AC式充電器（バッテリー・充電器｜スマートフォン・タブレット）
510003,まつげ・まゆげ美容液（ベースメイク・メイクアップ｜美容・コスメ・香水）
511293,新ジャンル・第3のビール（ビール・発泡酒｜ビール・洋酒）
551180,Men's T-shirts & cut-and-sew
551228,Carpets & rugs
551732,バスタオル（タオル｜日用品雑貨・文房具・手芸）
551736,フェイスタオル（タオル｜日用品雑貨・文房具・手芸）
554973,Golf GPS navigation
555003,カートリッジ（電子タバコ・ベイプ｜喫煙具）
555421,ドアホン・インターホン（住宅設備家電｜家電）
558754,Class 2 OTC hair-growth medicine
558846,Men's pants
558873,Men's coats & jackets
560271,Smartphone cases & covers
562641,Electric water heaters
563339,Red wine
563342,Sparkling wine & champagne
563689,Genre 563689
564286,Mirrorless cameras
564647,ご飯パック（米・雑穀｜食品）
564895,スマートウォッチ本体（スマートフォン・タブレット）
565724,キャットフード（キャットフード・サプリメント｜猫用品）
566061,あごだし（だし｜調味料）
566403,Nintendo Switch consoles
566647,蒲焼き（和風惣菜｜惣菜）
567251,マヌカハニー（はちみつ・ハニー｜ジャム・はちみつ）
567434,Cleaning services
567538,シャンプー・トリートメントセット（ヘアケア・スタイリング｜美容・コスメ・香水）
567554,セット（鍋・フライパン｜キッチン用品・食器・調理器具）
567623,その他（アミノ酸｜サプリメント）
567645,植物茶（茶葉・ティーバッグ｜お茶・紅茶）
567662,White wine sets
567664,Sparkling wine & champagne sets
567665,モルト・ウイスキー（スコッチ・ウイスキー｜ウイスキー）
